,shortest
465,3868.882739937553
466,3892.3696404044617
467,3909.119482738846
468,3909.119482738846
469,3909.119482738846
470,4065.631217528721
471,3905.77461208282
472,4058.808160018236
473,4058.808160018236
474,4058.808160018236
475,4310.122236961994
476,4249.977935672517
477,4249.977935672517
478,4412.179577579894
479,4388.834755380355
480,4388.834755380355
481,4388.834755380355
482,4388.834755380355
483,4223.559338314546
484,4431.575861350858
485,4431.575861350858
486,4545.9431998565815
487,4545.9431998565815
488,4610.539390358177
489,4610.539390358177
490,4162.486405367858
491,4162.486405367858
492,4445.339378437264
493,4236.307338774002
494,4236.307338774002
495,4236.307338774002
496,4566.919752251021
497,4162.31935824608
498,4102.170090842735
499,4162.31935824608
500,4343.818572433904
501,4340.761950520384
502,4340.761950520384
503,4436.105509821945
504,4453.508031724901
505,4410.009965599091
506,4299.572828490642
507,4299.572828490642
508,4299.572828490642
509,4299.572828490642
510,3820.1341018762046
511,3820.1341018762046
512,3791.960269273076
513,3791.960269273076
514,4213.435995898753
515,4570.223466744048
516,4329.176473031577
517,4329.176473031577
518,4339.367277906004
519,4243.477093811922
520,4339.367277906004
521,4184.600072061447
522,4091.4793865861243
523,4091.4793865861243
524,4091.4793865861243
525,4091.4793865861243
526,4091.4793865861243
527,3884.493914736365
528,3898.271056277559
529,3898.271056277559
530,3898.271056277559
531,3898.271056277559
532,4016.6538597666454
533,4254.245597805168
534,4254.245597805168
535,3944.7349510912463
536,4292.58314116066
537,4117.384885035426
538,3977.0132927865147
539,3977.0132927865147
540,3977.0132927865147
541,4084.467705669563
542,4084.467705669563
543,4126.713530322426
544,4065.5982243310764
545,3831.8441754233913
546,3831.8441754233913
547,3831.8441754233913
548,3831.8441754233913
549,3831.8441754233913
550,3831.8441754233913
551,4378.354457629944
552,3926.9551983361957
553,3863.165329310902
554,4454.219907574736
555,4454.219907574736
556,4454.219907574736
557,4454.219907574736
558,4454.219907574736
559,4454.219907574736
560,4454.219907574736
561,4454.219907574736
562,4347.842241763631
563,4359.701315445476
564,4168.690740595874
565,3856.575659802268
566,3856.575659802268
567,3856.575659802268
568,4270.408037873423
569,4148.511551976578
570,4148.511551976578
571,4148.511551976578
572,3691.5179889924884
573,3691.5179889924884
574,3691.5179889924884
575,4240.877129993141
576,4243.055934841571
577,3776.0196290644103
578,3776.0196290644103
579,4745.1824593238725
580,4516.678500055265
581,4264.002136016926
582,4264.002136016926
583,4264.002136016926
584,4264.002136016926
585,4264.002136016926
586,4264.002136016926
587,4658.655972767468
588,4071.3714869765836
589,4321.756725415376
590,3718.3688498916786
591,3718.3688498916786
592,3718.3688498916786
593,4158.449716970667
594,4158.449716970667
595,3569.565599561387
596,3719.5501192613183
597,4158.449716970667
598,4158.449716970667
599,3745.328688847443
600,3745.328688847443
601,4158.449716970667
602,4158.449716970667
603,4177.151860488207
604,4131.727096591733
605,4177.151860488207
606,4177.151860488207
607,4361.3412746607255
608,3658.8906424759407
609,3753.966933392552
610,3753.966933392552
611,3753.966933392552
612,3753.966933392552
613,3510.183674245321
614,3510.183674245321
615,3852.8422740857463
616,3852.8422740857463
617,3686.9665562948767
618,3686.9665562948767
619,3686.73223850619
620,3686.73223850619
621,3686.73223850619
622,3500.3619886262727
623,3500.3619886262727
624,3202.2842145891746
625,3202.2842145891746
626,3202.2842145891746
627,3345.752682675738
628,3293.168211165492
629,3293.168211165492
630,3293.168211165492
631,3293.168211165492
632,3293.168211165492
633,3293.168211165492
634,3293.168211165492
635,3293.168211165492
636,3293.168211165492
637,3293.168211165492
638,3236.607204117837
639,3236.607204117837
640,3236.607204117837
641,3236.607204117837
642,3293.168211165492
643,3293.168211165492
644,3293.168211165492
645,3293.168211165492
646,3293.168211165492
647,3293.168211165492
648,3293.168211165492
649,3293.168211165492
650,3293.168211165492
651,3293.168211165492
652,3293.168211165492
653,3293.168211165492
654,3293.168211165492
655,3293.168211165492
656,3293.168211165492
657,3293.168211165492
658,3293.168211165492
659,3293.168211165492
660,3293.168211165492
661,3293.168211165492
662,3293.168211165492
663,3293.168211165492
664,3293.168211165492
665,3293.168211165492
666,3293.168211165492
667,3293.168211165492
668,3293.168211165492
669,3293.168211165492
670,3293.168211165492
671,3293.168211165492
