,total
356,569785.380186141
357,590362.3305987188
358,576452.3558453118
359,596658.1468554505
360,581824.3969992789
361,581569.280736445
362,594665.1432863128
363,594187.7169333311
364,587769.7627139726
365,590377.3643846794
366,594390.6749786356
367,585422.5164086353
368,595302.738749911
369,586159.161822107
370,599418.2853073095
371,588420.8063971031
372,574251.8047989074
373,579773.0162576333
374,590723.1346041983
375,583155.9199441521
376,580908.337123465
377,583692.6539927147
378,575548.9708352047
379,569631.956046368
380,582777.0771725008
381,572969.959530006
382,570536.5990618009
383,583016.5298071014
384,575321.896845882
385,580918.4108029457
386,589744.8045175844
387,583195.3206452093
388,576544.9506115275
389,578571.9991440503
390,574713.2800877462
391,575383.4597179058
392,552575.5630981424
393,572550.5225275453
394,575150.7296781307
395,554633.309656049
396,550776.3612081652
397,563633.8214028721
398,565922.6638682318
399,567093.5581406554
400,564828.6375502859
401,567019.1650459054
402,579683.997128686
403,571729.8628767945
404,566090.5952044076
405,559100.7683873343
406,567704.770075324
407,572925.3163177269
408,565559.3029942571
409,568060.9059010895
410,564673.8013292314
411,565960.878967735
412,553698.8956861323
413,570390.6819818352
414,554242.8275721344
415,561426.0505521852
416,555072.667954471
417,551705.5826937277
418,568387.4238615851
419,561791.8371286856
420,551816.532546188
421,574155.3608445554
422,560567.1457977347
423,580430.4116317071
424,577511.9398596672
425,588779.7659303932
426,561365.1811060971
427,566918.8688148604
428,554119.7223716951
429,548371.4276132128
430,549335.3908692092
431,562830.6279366302
432,531264.8754982562
433,544740.8857178353
434,564115.0897350151
435,555066.1678380282
436,551996.794599484
437,561041.7258666087
438,578065.6079256173
439,566224.5674302941
440,575945.3266614667
441,587126.7015745637
442,586220.5967826599
443,581036.7164616081
444,601587.6997913633
445,601442.5669070401
446,586598.4902716074
447,589670.8161977428
448,589852.4826406841
449,588284.7126565357
450,608733.1374521174
451,592734.4159338869
452,587613.643626886
453,573669.5583419891
454,607698.5091966649
455,581105.0201583982
456,593327.6390740256
457,591659.6445724225
458,598836.9766264118
459,614936.9528283026
460,596215.3534461331
461,574319.8323351735
462,569316.2289929636
463,549875.6345185043
464,567746.8428487049
465,580295.5466964667
466,586693.3386230987
467,570488.5368019096
468,564796.7967372595
469,572050.264449354
470,569579.4529264347
471,578876.5935870288
472,579437.1516775505
473,590498.9686704178
474,588515.3296407339
475,589048.5241513213
476,579253.4590651046
477,582210.2628401074
478,593513.2246577876
479,571422.4984094464
480,601695.6046738715
481,595017.0904950786
482,581306.5421260993
483,590284.4586938722
484,575759.9339505368
485,590634.2065771663
486,576554.5578879347
487,587502.3144088049
488,597710.5443855261
489,584405.175884189
490,600699.9525812514
491,603446.4994084887
492,585196.8104743672
493,597861.7201590134
494,594903.5114699516
495,596856.8096746393
496,593050.7119868004
497,593672.4234184572
498,595783.2811781832
499,577261.9114662857
500,582601.8754660486
501,588161.372393264
502,582938.7064372754
503,597849.5027225452
504,585502.7182165569
505,589523.4542237916
506,593693.3639904608
507,590660.3560968
508,605800.6640363494
509,623109.2609254792
510,596155.7939027618
511,598894.4073436934
512,570694.5875805081
513,578180.8050208614
514,581605.3212287576
515,575339.3470727459
516,570447.2183480696
517,566881.6945325958
518,600236.8999767753
519,592934.0113340423
520,581599.315316405
521,577361.1104245032
522,583226.2147619269
523,567898.1490538728
524,571514.9191755995
525,587564.2053565236
526,594578.6161019702
527,574888.3592117389
528,572275.0704322716
529,571522.7720659316
530,565747.6621681486
531,561576.717531037
532,567104.2461532828
533,559086.8872454863
534,556089.6216059941
535,538235.8170544349
536,546765.112892769
537,542438.4145089111
538,549959.7236000503
539,558738.4966297266
540,560475.1035590325
541,558474.3216835404
542,546899.5913006455
543,550282.0529943856
544,554127.6562670866
545,574183.8184468298
546,553372.4569837872
547,575688.0109206199
548,564714.1786816384
549,578520.9961366573
550,591082.9569351143
551,599065.825676627
552,577083.031605645
553,577824.2594377486
554,572720.658852405
555,578524.8718232886
556,575615.0984177887
557,573698.4660775613
558,569972.4531065318
559,570530.6426876308
560,615539.4365532626
561,599167.0997690784
562,584511.4490203052
563,570661.808051679
564,567527.7433527507
565,570343.6298248665
566,587023.5255406385
567,579353.0635197633
568,572043.2133106545
569,550810.8319812401
570,565870.9808443727
571,577076.5598975366
572,575626.5087452977
573,587201.9698226941
574,583757.891232791
575,583596.3942420823
576,590603.9141921825
577,590452.798423871
578,597502.0707567617
579,595408.954351168
580,609570.0761830189
581,592793.6664249966
582,597702.043247487
583,607032.2346199931
584,604506.3121727138
585,591613.6900723793
586,586717.2282920665
587,591639.8128536749
588,575872.589581102
589,575827.10656871
590,581590.0245511923
591,584448.171157778
592,574534.3475337002
593,579253.1457122761
594,573212.1835094872
595,552716.4297392768
596,567626.8739379907
597,568050.6491953606
598,561164.6392396472
599,558968.5388453286
600,554513.5306095362
601,569489.647221009
602,578935.6980152078
603,567219.6071104389
604,549899.6780554749
605,568969.7272133795
606,557639.2571324161
607,551216.5607510305
608,537463.2124755428
609,535019.3546807605
610,529635.8973604358
611,522921.71951036586
612,511594.48932727484
613,505461.5386262784
614,511975.91286224936
615,508999.96036530804
616,487520.5699044777
617,489025.49036831263
618,466090.3313154449
619,442503.45948443713
620,440309.78792773734
621,431682.1710282037
622,425989.85733009316
623,423414.3669866734
